,Adaptive Governance Analysis,Comparative Case Study,Conceptual Synthesis,Earth System Modelling,Integrated Assessment Modelling,Network Analysis,Process Tracing,Qualitative Governance Analysis,Resilience Assessment,Scenario Analysis,System Dynamics
A general framework for analyzing sustainability of social-ecological systems,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A safe operating space for humanity,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adaptive governance of social-ecological systems,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Earth System Governance: People, Places and the Planet",0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Earth for All: A Survival Guide for Humanity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Global polycrisis: the causal mechanisms of crisis entanglement,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
Panarchy: Understanding Transformations in Human and Natural Systems,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planetary Boundaries: Exploring the Safe Operating Space for Humanity,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planetary boundaries: Guiding human development on a changing planet,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resilience: The emergence of a perspective for social-ecological systems analyses,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Safe and just Earth system boundaries,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Sustainability transitions: An emerging field of research and its prospects,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Limits to Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
What Is a Global Polycrisis?,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
